id,Introvert_score,bin__Stage_fear,bin__Drained_after_socializing,num__Time_spent_Alone,num__Social_event_attendance,Personality
5477,0,0,0,1,5,Extrovert
5478,0,0,0,1,8,Extrovert
5479,4,1,1,9,0,Introvert
5480,4,1,1,6,2,Introvert
5481,0,0,0,1,6,Extrovert
5482,0,0,0,2,6,Extrovert
5483,0,0,0,3,7,Extrovert
5484,0,0,0,0,4,Extrovert
5485,2,1,1,5,3,Introvert
5486,0,0,0,3,7,Extrovert
5487,2,1,1,4,1,Introvert
5488,0,0,0,1,8,Extrovert
5489,4,1,1,6,1,Introvert
5490,0,0,0,0,6,Extrovert
5491,0,0,0,1,9,Extrovert
5492,1,0,0,1,7,Extrovert
5493,1,0,0,0,5,Introvert
5494,0,0,0,0,9,Extrovert
5495,4,1,1,10,5,Introvert
5496,0,0,0,1,4,Extrovert
5497,0,0,0,2,5,Extrovert
5498,0,0,0,1,5,Extrovert
5499,4,1,1,7,0,Introvert
5500,3,1,1,11,3,Introvert
5501,0,0,0,2,4,Extrovert
5502,4,1,1,6,2,Introvert
5504,0,0,0,2,9,Extrovert
5505,0,0,0,3,10,Extrovert
5506,3,1,1,8,3,Extrovert
5507,0,0,0,2,8,Extrovert
5508,5,1,1,6,1,Introvert
5509,4,1,1,6,5,Introvert
5511,0,0,0,0,7,Extrovert
5512,0,0,0,3,8,Introvert
5513,4,1,1,10,3,Introvert
5514,0,0,0,3,5,Extrovert
5515,5,1,1,11,2,Introvert
5516,4,1,1,9,5,Introvert
5517,3,1,1,9,1,Introvert
5518,0,0,0,2,8,Extrovert
5519,1,0,0,3,9,Extrovert
5521,0,0,0,4,6,Extrovert
5522,0,0,0,2,5,Extrovert
5523,0,0,0,2,10,Extrovert
5524,0,0,0,0,6,Extrovert
5525,0,0,0,2,8,Extrovert
5526,0,0,0,0,5,Extrovert
5527,4,1,0,6,2,Introvert
5528,0,0,0,0,6,Extrovert
5529,0,0,0,0,6,Extrovert
5530,1,0,0,2,8,Extrovert
5531,1,0,0,2,4,Extrovert
5532,1,0,0,5,7,Extrovert
5533,4,1,1,5,5,Introvert
5534,1,0,0,11,8,Extrovert
5535,1,0,0,3,8,Extrovert
5536,4,1,1,7,1,Introvert
5537,0,0,0,0,6,Extrovert
5538,1,0,0,3,5,Extrovert
5539,0,0,0,1,4,Extrovert
5540,4,1,1,8,0,Introvert
5541,1,0,0,3,5,Extrovert
5542,3,1,1,8,3,Introvert
5543,1,0,0,3,8,Extrovert
5544,0,0,0,3,4,Extrovert
5545,0,0,0,0,8,Extrovert
5546,0,0,0,1,9,Extrovert
5547,0,0,0,3,9,Extrovert
5548,0,0,0,1,5,Extrovert
5549,0,0,0,3,8,Extrovert
5550,0,0,0,3,8,Extrovert
5551,1,0,0,2,8,Extrovert
5553,0,0,0,0,4,Extrovert
5554,0,0,0,2,5,Extrovert
5555,1,0,0,3,6,Extrovert
5556,0,0,0,2,4,Extrovert
5557,5,1,0,10,1,Introvert
5558,3,0,0,6,2,Extrovert
5559,2,1,1,5,3,Introvert
5560,0,0,0,0,5,Extrovert
5561,3,1,1,8,3,Introvert
5562,0,0,0,2,6,Extrovert
5563,0,0,0,2,9,Extrovert
5564,4,1,1,6,2,Introvert
5565,1,0,0,0,8,Extrovert
5566,4,1,1,9,0,Introvert
5567,4,1,1,9,0,Introvert
5568,0,0,0,2,4,Extrovert
5569,0,0,0,1,6,Extrovert
5570,1,0,0,3,5,Extrovert
5571,1,0,0,3,3,Extrovert
5572,0,0,0,1,6,Extrovert
5573,4,1,1,6,1,Extrovert
5574,0,0,0,1,4,Extrovert
5575,0,0,0,1,7,Extrovert
5576,0,0,0,0,5,Extrovert
5578,1,0,0,0,9,Extrovert
5579,0,0,0,3,9,Extrovert
5580,0,0,0,2,4,Extrovert
5581,4,1,1,11,2,Introvert
5582,3,1,1,7,3,Introvert
5583,0,0,0,2,4,Extrovert
5584,1,0,0,2,8,Extrovert
5585,0,0,0,3,5,Extrovert
5586,1,0,0,3,3,Extrovert
5587,1,0,0,2,5,Extrovert
5588,1,0,0,0,9,Extrovert
5589,4,1,1,7,2,Introvert
5590,0,0,0,2,6,Extrovert
5591,0,0,0,1,7,Extrovert
5592,0,0,0,3,8,Extrovert
5593,0,0,0,3,6,Extrovert
5594,0,0,0,1,7,Extrovert
5595,4,1,1,7,2,Introvert
5596,0,0,0,2,7,Extrovert
5598,1,0,0,1,7,Extrovert
5599,0,0,0,0,3,Extrovert
5600,0,0,0,1,10,Extrovert
5601,0,0,0,0,8,Introvert
5602,4,1,1,8,2,Introvert
5603,1,0,0,0,3,Extrovert
5604,0,0,0,1,8,Extrovert
5605,0,0,0,1,6,Extrovert
5606,1,0,0,2,7,Extrovert
5607,3,1,1,10,3,Introvert
5608,1,0,0,1,6,Extrovert
5609,1,0,0,0,3,Extrovert
5610,1,0,0,4,9,Extrovert
5611,2,1,1,5,3,Introvert
5612,5,1,0,10,2,Introvert
5613,0,0,0,0,6,Extrovert
5614,0,0,0,0,7,Extrovert
5615,3,1,1,9,3,Introvert
5616,0,0,0,0,9,Extrovert
5617,0,0,0,0,9,Extrovert
5618,0,0,0,3,8,Extrovert
5619,0,0,0,0,5,Extrovert
5621,1,0,0,2,5,Extrovert
5622,0,0,0,3,6,Extrovert
5623,0,0,0,0,9,Extrovert
5624,0,0,0,1,8,Extrovert
5625,1,0,0,1,7,Extrovert
5626,5,0,1,11,0,Introvert
5627,0,0,0,3,10,Extrovert
5628,0,0,0,2,6,Extrovert
5629,0,0,0,1,6,Extrovert
5630,0,0,0,3,7,Extrovert
5631,1,0,0,0,7,Extrovert
5632,1,0,0,3,6,Extrovert
5633,0,0,0,1,9,Extrovert
5634,4,0,1,11,5,Introvert
5635,0,0,0,2,3,Extrovert
5636,1,0,0,2,5,Extrovert
5637,1,0,0,0,6,Extrovert
5638,0,0,0,0,9,Extrovert
5639,0,0,0,2,7,Extrovert
5640,1,0,0,3,8,Extrovert
5641,1,0,0,3,6,Extrovert
5642,0,0,0,1,5,Extrovert
5643,0,0,0,3,6,Extrovert
5644,3,1,1,8,3,Introvert
5645,1,0,0,3,8,Extrovert
5646,1,0,0,4,3,Extrovert
5647,0,0,0,2,9,Extrovert
5648,0,0,0,2,4,Extrovert
5649,1,0,0,3,9,Extrovert
5650,0,0,0,3,6,Extrovert
5651,0,0,0,2,4,Extrovert
5652,0,0,0,2,3,Extrovert
5653,0,0,0,2,4,Extrovert
5655,0,0,0,1,5,Extrovert
5656,1,0,0,0,4,Extrovert
5657,0,0,0,0,9,Introvert
5658,0,0,0,1,9,Extrovert
5659,0,0,0,4,7,Extrovert
5660,0,0,0,2,6,Extrovert
5661,0,0,0,3,5,Extrovert
5662,0,0,0,3,5,Extrovert
5663,0,0,0,2,7,Extrovert
5664,0,0,0,0,7,Extrovert
5665,4,1,1,6,2,Introvert
5667,0,0,0,1,6,Extrovert
5669,5,0,1,11,0,Introvert
5670,1,0,0,2,5,Extrovert
5671,0,0,0,2,7,Extrovert
5672,1,0,0,3,5,Extrovert
5674,0,0,0,3,4,Extrovert
5675,0,0,0,2,4,Extrovert
5676,0,0,0,1,5,Extrovert
5677,0,0,0,0,4,Extrovert
5678,0,0,0,1,8,Extrovert
5679,0,0,0,3,9,Extrovert
5680,4,1,1,6,1,Introvert
5681,0,0,0,3,5,Extrovert
5682,0,0,0,4,5,Extrovert
5683,1,0,0,2,4,Extrovert
5684,4,1,1,10,0,Introvert
5685,1,0,0,0,5,Extrovert
5686,1,0,0,0,7,Extrovert
5687,0,0,0,2,7,Extrovert
5688,0,0,0,1,4,Extrovert
5689,2,1,1,4,3,Extrovert
5690,0,0,0,2,9,Extrovert
5691,1,0,0,0,5,Extrovert
5692,4,0,1,7,3,Introvert
5693,0,0,0,2,8,Extrovert
5694,0,0,0,2,7,Extrovert
5695,0,0,0,2,5,Extrovert
5696,0,0,0,2,4,Extrovert
5697,1,0,0,1,5,Extrovert
5698,4,1,1,10,2,Introvert
5699,4,1,1,7,2,Introvert
5700,0,0,0,2,5,Extrovert
5701,1,0,0,1,4,Extrovert
5702,0,0,0,2,7,Extrovert
5703,0,0,0,1,6,Extrovert
5704,3,1,1,10,3,Introvert
5706,4,1,1,7,1,Introvert
5707,3,1,1,3,3,Introvert
5708,0,0,0,1,6,Extrovert
5709,0,0,0,1,6,Extrovert
5710,0,0,0,3,9,Extrovert
5711,0,0,0,2,4,Extrovert
5712,5,1,0,7,1,Introvert
5713,0,0,0,3,5,Extrovert
5714,1,0,0,3,7,Extrovert
5715,0,0,0,0,4,Extrovert
5716,0,0,0,3,6,Extrovert
5717,1,0,0,2,7,Extrovert
5718,2,0,0,8,7,Introvert
5719,0,0,0,1,7,Extrovert
5721,0,0,0,0,8,Extrovert
5722,1,0,0,0,8,Extrovert
5723,0,0,0,3,5,Extrovert
5724,1,0,0,2,3,Extrovert
5726,4,1,1,7,2,Introvert
5727,4,1,1,6,2,Introvert
5728,0,0,0,3,7,Extrovert
5729,1,0,0,0,4,Extrovert
5732,0,0,0,4,6,Extrovert
5733,0,0,0,0,3,Extrovert
5734,0,0,0,3,4,Extrovert
5735,1,0,0,0,4,Extrovert
5736,4,1,1,6,3,Introvert
5737,0,0,0,1,8,Extrovert
5738,3,1,1,6,3,Introvert
5739,5,1,0,10,2,Introvert
5740,1,0,0,3,4,Extrovert
5741,0,0,0,3,8,Extrovert
5742,0,0,0,3,6,Extrovert
5743,4,1,1,10,0,Introvert
5744,0,0,0,1,9,Extrovert
5745,4,1,1,11,2,Introvert
5746,0,0,0,0,4,Extrovert
5747,0,0,0,0,7,Extrovert
5748,0,0,0,4,5,Extrovert
5749,1,0,0,3,7,Extrovert
5751,4,1,1,11,1,Introvert
5752,0,0,0,3,6,Extrovert
5753,0,0,0,3,8,Extrovert
5754,0,0,0,2,7,Extrovert
5755,0,0,0,1,7,Extrovert
5756,4,1,1,10,2,Introvert
5757,0,0,0,2,10,Extrovert
5759,0,0,0,2,5,Extrovert
5760,0,0,0,3,9,Extrovert
5761,0,0,0,2,8,Extrovert
5762,0,0,0,3,4,Extrovert
5763,1,0,0,0,3,Extrovert
5765,0,0,0,3,9,Extrovert
5767,0,0,0,2,8,Extrovert
5768,0,0,0,0,6,Extrovert
5769,4,1,1,9,2,Introvert
5770,3,1,1,4,5,Introvert
5772,0,0,0,3,4,Extrovert
5773,0,0,0,1,6,Extrovert
5774,1,0,0,6,7,Extrovert
5775,0,0,0,2,7,Extrovert
5776,0,0,0,2,8,Extrovert
5777,1,0,0,3,9,Extrovert
5778,0,0,0,0,6,Extrovert
5779,0,0,0,3,10,Extrovert
5780,5,1,1,8,2,Introvert
5781,0,0,0,1,5,Extrovert
5782,0,0,0,1,6,Extrovert
5783,4,1,1,7,5,Introvert
5784,0,0,0,1,5,Extrovert
5785,0,0,0,4,7,Extrovert
5786,4,1,1,7,2,Introvert
5787,0,0,0,3,6,Extrovert
5788,4,1,1,9,1,Introvert
5789,0,0,0,2,9,Extrovert
5790,0,0,0,2,10,Extrovert
5791,1,0,0,1,5,Extrovert
5792,0,0,0,0,9,Extrovert
5793,4,1,1,2,0,Introvert
5794,1,0,0,0,7,Extrovert
5795,1,0,0,1,9,Extrovert
5796,0,0,0,0,6,Extrovert
5797,0,0,0,4,8,Extrovert
5799,0,0,0,0,6,Extrovert
5800,0,0,0,3,9,Extrovert
5801,1,0,0,1,6,Extrovert
5802,0,0,0,1,5,Extrovert
5803,3,1,1,10,2,Introvert
5804,1,0,0,0,3,Extrovert
5805,5,1,1,6,0,Introvert
5806,5,1,0,11,2,Introvert
5807,1,0,0,3,6,Extrovert
5808,0,0,0,0,9,Extrovert
5809,1,0,0,2,7,Extrovert
5810,5,1,1,6,1,Introvert
5811,1,0,0,1,3,Extrovert
5812,1,0,0,0,4,Extrovert
5813,0,0,0,2,8,Extrovert
5814,1,0,0,1,9,Extrovert
5815,3,1,1,4,5,Introvert
5816,4,1,1,4,0,Introvert
5817,4,1,1,9,5,Introvert
5818,0,0,0,0,4,Extrovert
5819,0,0,0,1,5,Extrovert
5820,4,1,1,6,1,Introvert
5821,1,0,0,3,4,Extrovert
5822,0,0,0,3,7,Extrovert
5823,0,0,0,2,9,Extrovert
5824,0,0,0,0,7,Extrovert
5826,1,0,0,2,8,Extrovert
5827,4,1,1,9,0,Introvert
5828,0,0,0,0,9,Extrovert
5829,1,0,0,0,4,Extrovert
5830,1,0,0,2,4,Extrovert
5831,0,0,0,2,5,Extrovert
5832,1,0,0,3,5,Extrovert
5833,1,0,0,3,4,Extrovert
5834,0,0,0,3,4,Extrovert
5836,4,0,1,4,0,Introvert
5837,0,0,0,3,5,Extrovert
5838,0,0,0,1,9,Extrovert
5839,0,0,0,2,8,Extrovert
5840,4,1,1,11,1,Introvert
5841,1,0,0,3,6,Extrovert
5842,0,0,0,3,4,Extrovert
5843,3,1,1,9,3,Introvert
5844,0,0,0,4,8,Extrovert
5845,0,0,0,1,10,Extrovert
5847,1,0,0,4,6,Extrovert
5848,1,0,0,2,6,Extrovert
5849,1,0,0,11,6,Introvert
5850,0,0,0,0,9,Extrovert
5851,3,1,1,1,3,Extrovert
5852,1,0,0,0,3,Extrovert
5853,0,0,0,3,8,Extrovert
5854,0,0,0,2,8,Extrovert
5855,4,1,1,6,1,Introvert
5856,0,0,0,3,9,Extrovert
5857,0,0,0,2,8,Extrovert
5858,3,1,1,11,3,Introvert
5859,1,0,0,3,4,Extrovert
5860,0,0,0,1,6,Extrovert
5861,0,0,0,1,7,Extrovert
5862,1,0,0,0,7,Introvert
5863,0,0,0,2,9,Extrovert
5864,0,0,0,0,9,Extrovert
5865,1,0,0,2,8,Extrovert
5866,1,0,0,0,7,Extrovert
5867,4,1,1,5,3,Introvert
5868,4,1,1,4,0,Introvert
5869,0,0,0,0,5,Extrovert
5870,5,1,1,8,1,Introvert
5871,0,0,0,1,5,Introvert
5872,0,0,0,3,7,Extrovert
5873,0,0,0,3,7,Extrovert
5874,0,0,0,0,5,Extrovert
5875,1,1,1,4,1,Introvert
5876,1,0,0,3,7,Extrovert
5877,1,0,0,0,3,Extrovert
5878,1,0,0,3,4,Extrovert
5879,1,0,0,6,6,Extrovert
5880,1,0,0,3,9,Extrovert
5881,5,0,1,5,2,Introvert
5882,0,0,0,0,5,Extrovert
5883,0,0,0,1,6,Extrovert
5884,4,1,1,9,4,Introvert
5885,1,0,0,0,5,Extrovert
5886,0,0,0,1,6,Extrovert
5887,4,1,1,7,3,Introvert
5888,0,0,0,2,7,Extrovert
5889,0,0,0,3,8,Extrovert
5890,5,1,0,11,2,Introvert
5891,1,0,0,2,3,Introvert
5892,0,0,0,0,3,Extrovert
5893,4,0,1,4,2,Introvert
5894,4,1,1,7,2,Extrovert
5895,4,1,1,11,1,Introvert
5896,4,1,1,6,1,Introvert
5897,0,0,0,2,9,Extrovert
5898,1,0,0,3,3,Extrovert
5899,1,0,0,1,7,Extrovert
5900,1,0,0,0,5,Extrovert
5901,0,0,0,2,9,Extrovert
5902,1,0,0,0,4,Extrovert
5903,0,0,0,1,4,Extrovert
5904,0,0,0,2,6,Extrovert
5905,1,0,0,1,9,Extrovert
5906,1,0,0,2,7,Introvert
5907,5,0,1,5,0,Introvert
5908,1,0,0,6,10,Introvert
5909,0,0,0,0,6,Extrovert
5910,1,0,0,3,9,Extrovert
5911,0,0,0,0,8,Extrovert
5912,3,1,1,5,5,Introvert
5913,1,0,0,0,4,Extrovert
5914,0,0,0,3,7,Extrovert
5915,0,0,0,1,5,Extrovert
5916,5,0,1,8,2,Introvert
5917,4,1,0,4,0,Introvert
5918,0,0,0,3,7,Extrovert
5919,0,0,0,2,4,Extrovert
5920,1,0,0,2,5,Extrovert
5921,0,0,0,3,5,Extrovert
5922,0,0,0,1,5,Extrovert
5923,4,1,1,11,1,Introvert
5924,0,0,0,0,5,Extrovert
5925,5,1,1,10,1,Introvert
5926,0,0,0,0,5,Extrovert
5927,1,0,0,0,6,Extrovert
5928,3,1,1,5,0,Introvert
5929,0,0,0,0,9,Extrovert
5930,0,0,0,2,4,Extrovert
5931,2,1,1,4,1,Introvert
5932,2,1,1,4,3,Introvert
5933,1,0,0,3,6,Extrovert
5934,5,1,1,8,0,Introvert
5935,0,0,0,1,5,Extrovert
5936,1,0,0,0,4,Extrovert
5937,4,1,1,2,2,Introvert
5938,0,0,0,0,4,Extrovert
5939,0,0,0,1,3,Extrovert
5940,4,1,1,6,0,Extrovert
5941,0,0,0,2,7,Introvert
5942,0,0,0,1,9,Extrovert
5943,4,1,1,3,0,Introvert
5944,0,0,0,3,9,Extrovert
5945,0,0,0,1,6,Extrovert
5946,0,0,0,3,6,Extrovert
5947,5,1,0,9,0,Introvert
5948,4,1,1,11,1,Introvert
5949,4,1,1,8,3,Introvert
5950,4,1,1,8,3,Introvert
5951,4,1,1,5,1,Introvert
5952,1,0,0,0,4,Extrovert
5953,3,1,1,2,3,Introvert
5954,0,0,0,0,6,Extrovert
5955,0,0,0,0,5,Extrovert
5956,0,0,0,1,8,Extrovert
5957,1,0,0,2,6,Extrovert
5958,0,0,0,1,6,Extrovert
5959,0,0,0,2,9,Extrovert
5960,0,0,0,0,8,Extrovert
5961,0,0,0,3,8,Extrovert
5962,0,0,0,1,8,Introvert
5963,0,0,0,1,7,Extrovert
5964,0,0,0,2,8,Extrovert
5965,0,0,0,0,5,Extrovert
5966,4,0,1,11,3,Introvert
5967,5,0,1,5,0,Introvert
5968,0,0,0,3,9,Extrovert
5969,5,1,0,5,2,Introvert
5970,4,1,1,6,0,Introvert
5971,0,0,0,2,5,Extrovert
5972,4,1,1,9,0,Introvert
5973,0,0,0,2,9,Extrovert
5974,0,0,0,1,9,Extrovert
5976,0,0,0,4,10,Extrovert
5978,1,0,0,2,6,Extrovert
5979,5,1,0,6,2,Introvert
5980,5,1,0,6,0,Introvert
5981,0,0,0,2,7,Extrovert
5982,0,0,0,1,5,Extrovert
5983,1,0,0,0,6,Extrovert
5984,0,0,0,2,10,Extrovert
5985,0,0,0,0,7,Extrovert
5986,0,0,0,0,6,Extrovert
5987,0,0,0,3,5,Extrovert
5988,1,0,0,2,4,Extrovert
5989,0,0,0,3,8,Extrovert
5990,1,0,0,0,9,Extrovert
5991,4,0,1,6,3,Introvert
5992,4,1,1,8,0,Extrovert
5993,0,0,0,3,8,Extrovert
5994,4,1,1,5,2,Introvert
5995,0,0,0,0,9,Extrovert
5996,0,0,0,1,6,Extrovert
5997,0,0,0,2,6,Extrovert
5998,1,0,0,4,9,Extrovert
5999,0,0,0,0,7,Extrovert
6001,4,1,1,7,3,Introvert
6002,0,0,0,3,8,Extrovert
6003,0,0,0,0,5,Extrovert
6005,0,0,0,1,4,Extrovert
6006,1,0,0,3,6,Extrovert
6008,1,0,0,2,4,Extrovert
6009,0,0,0,3,6,Extrovert
6010,1,0,0,0,9,Extrovert
6011,4,1,1,9,3,Introvert
6012,0,0,0,1,8,Extrovert
6013,0,0,0,2,4,Extrovert
6014,1,0,0,0,9,Extrovert
6015,0,0,0,0,4,Extrovert
6016,0,0,0,3,7,Extrovert
6017,4,1,1,4,0,Introvert
6018,5,1,1,10,0,Introvert
6019,0,0,0,4,4,Extrovert
6020,0,0,0,0,8,Extrovert
6021,0,0,0,2,5,Extrovert
6022,0,0,0,3,8,Extrovert
6023,0,0,0,1,9,Extrovert
6024,5,1,0,8,2,Introvert
6025,1,0,0,2,8,Extrovert
6026,0,0,0,1,9,Extrovert
6027,0,0,0,0,6,Extrovert
6028,3,1,1,2,3,Introvert
6029,0,0,0,2,9,Extrovert
6030,3,1,1,8,0,Introvert
6031,4,1,1,7,2,Extrovert
6032,0,0,0,2,7,Extrovert
6033,0,0,0,3,6,Extrovert
6034,0,0,0,2,4,Extrovert
6035,0,0,0,1,8,Extrovert
6036,0,0,0,1,5,Extrovert
6037,0,0,0,1,5,Extrovert
6038,0,0,0,0,9,Extrovert
6039,1,0,0,0,5,Extrovert
6040,0,0,0,3,9,Extrovert
6041,3,1,1,4,5,Introvert
6042,0,0,0,2,9,Extrovert
6043,0,0,0,1,7,Extrovert
6044,5,1,1,11,0,Introvert
6045,0,0,0,1,6,Extrovert
6046,1,0,0,1,4,Extrovert
6047,0,0,0,0,3,Extrovert
6048,0,0,0,0,5,Extrovert
6049,1,0,0,2,6,Extrovert
6050,0,0,0,4,6,Extrovert
6051,1,0,0,0,7,Extrovert
6052,0,0,0,0,5,Extrovert
6053,1,0,0,2,6,Extrovert
6054,5,1,1,6,1,Introvert
6055,0,0,0,3,7,Extrovert
6056,1,0,0,2,9,Extrovert
6057,5,1,0,10,0,Introvert
6058,0,0,0,2,8,Extrovert
6059,1,0,0,0,5,Extrovert
6060,3,1,1,4,0,Introvert
6061,0,0,0,2,5,Extrovert
6062,1,0,0,2,8,Extrovert
6063,0,0,0,0,8,Extrovert
6064,0,0,0,1,3,Extrovert
6065,0,0,0,1,5,Extrovert
6066,2,1,0,2,3,Extrovert
6067,5,1,0,9,0,Introvert
6068,4,0,1,8,3,Introvert
6069,0,0,0,1,4,Extrovert
6070,0,0,0,1,7,Extrovert
6071,0,0,0,2,4,Extrovert
6072,0,0,0,1,7,Extrovert
6073,0,0,0,3,4,Extrovert
6075,3,1,1,9,3,Introvert
6076,0,0,0,1,8,Extrovert
6077,0,0,0,2,8,Extrovert
6078,0,0,0,2,7,Extrovert
6079,0,0,0,1,9,Extrovert
6080,1,0,0,4,9,Extrovert
6082,0,0,0,3,7,Extrovert
6083,5,1,1,8,2,Introvert
6084,0,0,0,0,3,Extrovert
6085,0,0,0,1,9,Extrovert
6086,0,0,0,1,4,Extrovert
6087,0,0,0,3,6,Extrovert
6088,4,1,1,7,5,Introvert
6089,4,0,1,4,0,Introvert
6090,0,0,0,0,7,Extrovert
6091,0,0,0,1,9,Extrovert
6092,1,0,0,2,9,Extrovert
6093,1,0,0,3,4,Extrovert
6094,5,1,0,7,1,Introvert
6095,4,1,1,11,2,Introvert
6096,0,0,0,3,9,Extrovert
6097,0,0,0,3,7,Extrovert
6098,0,0,0,4,8,Extrovert
6099,1,0,0,1,5,Extrovert
6100,0,0,0,2,7,Extrovert
6101,5,1,1,5,0,Introvert
6102,5,1,1,10,0,Introvert
6103,0,0,0,1,8,Extrovert
6104,1,0,0,2,8,Extrovert
6105,4,1,1,9,0,Introvert
6106,4,1,1,2,2,Introvert
6107,0,0,0,0,4,Extrovert
6108,4,1,1,10,1,Introvert
6109,4,1,1,5,1,Introvert
6110,4,1,1,9,2,Introvert
6111,0,0,0,3,10,Extrovert
6112,0,0,0,0,9,Extrovert
6113,0,0,0,2,9,Extrovert
6114,1,0,0,3,7,Extrovert
6115,0,0,0,2,4,Extrovert
6116,0,0,0,3,8,Extrovert
6117,0,0,0,2,7,Extrovert
6118,0,0,0,3,9,Extrovert
6119,0,0,0,2,5,Extrovert
6120,4,1,1,11,2,Introvert
6121,4,1,1,7,5,Introvert
6122,5,1,0,10,2,Introvert
6123,0,0,0,3,8,Extrovert
6124,1,0,0,2,8,Extrovert
6125,0,0,0,0,6,Extrovert
6126,2,1,1,2,3,Introvert
6127,1,0,0,3,9,Extrovert
6128,0,0,0,2,5,Extrovert
6129,3,1,1,11,3,Introvert
6130,0,0,0,2,7,Extrovert
6131,4,1,1,8,2,Introvert
6132,1,0,0,0,5,Extrovert
6133,4,1,0,4,1,Introvert
6134,0,0,0,0,6,Extrovert
6135,0,0,0,0,8,Extrovert
6136,1,0,0,1,5,Extrovert
6137,0,0,0,3,4,Introvert
6138,0,0,0,1,4,Extrovert
6139,0,0,0,0,7,Extrovert
6140,4,1,1,4,1,Introvert
6141,1,0,0,1,9,Extrovert
6142,2,1,1,4,2,Introvert
6143,1,0,0,3,4,Extrovert
6144,0,0,0,0,6,Extrovert
6145,1,0,0,0,6,Extrovert
6146,3,1,1,5,3,Introvert
6147,3,1,1,7,3,Introvert
6149,0,0,0,2,4,Extrovert
6150,1,0,0,0,4,Extrovert
6151,3,1,1,9,3,Introvert
6152,1,0,0,1,4,Extrovert
6153,4,1,1,5,3,Introvert
6154,0,0,0,2,4,Extrovert
6155,0,0,0,0,9,Extrovert
6156,0,0,0,3,6,Extrovert
6157,0,0,0,1,8,Extrovert
6158,4,1,1,11,0,Introvert
6159,0,0,0,3,4,Extrovert
6160,1,0,0,3,3,Extrovert
6161,0,0,0,1,5,Extrovert
6162,0,0,0,1,7,Introvert
6163,0,0,0,3,4,Extrovert
6164,0,0,0,2,4,Extrovert
6165,0,0,0,3,6,Extrovert
6167,0,0,0,4,5,Extrovert
6168,1,0,0,1,7,Extrovert
6169,0,0,0,0,7,Extrovert
6170,0,0,0,2,7,Extrovert
6171,0,0,0,2,9,Introvert
6172,0,0,0,2,6,Extrovert
6173,0,0,0,2,9,Extrovert
6174,0,0,0,2,10,Extrovert
6175,0,0,0,3,7,Extrovert
6176,0,0,0,3,6,Extrovert
6177,0,0,0,1,7,Extrovert
6178,1,0,0,0,5,Extrovert
6179,4,1,1,4,2,Introvert
6180,1,0,0,2,4,Extrovert
6181,5,1,1,5,2,Introvert
6182,1,0,0,2,9,Extrovert
6183,0,0,0,3,9,Extrovert
6184,0,0,0,4,7,Extrovert
6185,1,0,0,2,3,Extrovert
6186,0,0,0,0,5,Extrovert
6187,0,0,0,4,4,Extrovert
6188,0,0,0,3,6,Extrovert
6189,3,1,1,4,5,Introvert
6190,0,0,0,2,3,Extrovert
6191,0,0,0,1,9,Extrovert
6192,0,0,0,0,3,Extrovert
6193,0,0,0,0,5,Extrovert
6194,5,0,1,6,1,Introvert
6195,4,0,1,8,3,Introvert
6196,0,0,0,0,9,Extrovert
6197,0,0,0,3,4,Extrovert
6198,1,0,0,1,9,Extrovert
6199,0,0,0,3,8,Extrovert
6200,4,1,1,7,0,Introvert
6201,0,0,0,3,7,Extrovert
6202,1,0,0,2,3,Extrovert
6203,0,0,0,0,5,Extrovert
6204,0,0,0,2,7,Extrovert
6205,1,0,0,0,8,Extrovert
6206,3,1,1,7,3,Introvert
6207,0,0,0,2,6,Extrovert
6209,0,0,0,3,4,Extrovert
6210,0,0,0,2,4,Extrovert
6211,5,1,0,5,1,Introvert
6212,5,0,1,7,2,Introvert
6213,0,0,0,3,6,Extrovert
6214,0,0,0,0,5,Extrovert
6215,5,1,1,8,1,Introvert
6217,0,0,0,2,9,Extrovert
6218,1,0,0,9,6,Extrovert
6219,0,0,0,2,8,Extrovert
6220,0,0,0,3,5,Extrovert
6221,0,0,0,2,8,Extrovert
6222,0,0,0,2,4,Extrovert
6223,0,0,0,2,7,Extrovert
6224,0,0,0,3,8,Extrovert
6225,0,0,0,2,5,Extrovert
6226,4,1,1,5,2,Introvert
6227,0,0,0,1,5,Extrovert
6228,0,0,0,1,4,Extrovert
6229,0,0,0,1,9,Extrovert
6230,5,1,1,8,1,Introvert
6231,3,1,1,4,5,Introvert
6232,0,0,0,1,9,Extrovert
6233,0,0,0,3,5,Extrovert
6234,4,1,1,6,2,Introvert
6235,0,0,0,3,9,Extrovert
6236,1,0,0,0,4,Extrovert
6238,0,0,0,0,3,Extrovert
6239,4,1,1,5,5,Introvert
6240,0,0,0,1,8,Extrovert
6242,1,0,0,3,4,Extrovert
6243,0,0,0,3,9,Extrovert
6244,4,1,1,5,2,Introvert
6245,0,0,0,2,5,Extrovert
6246,1,0,0,1,5,Extrovert
6247,0,0,0,3,8,Extrovert
6248,4,1,1,5,0,Introvert
6249,0,0,0,2,6,Extrovert
6250,5,1,1,7,1,Introvert
6251,5,0,1,5,0,Introvert
6252,0,0,0,0,4,Extrovert
6253,0,0,0,0,5,Extrovert
6254,4,1,1,6,2,Introvert
6255,3,1,1,5,5,Introvert
6256,0,0,0,2,5,Extrovert
6257,1,0,0,1,9,Extrovert
6258,4,1,1,8,5,Introvert
